id,guid,wid,pid,billable,start,stop,duration,description,duronly,at,uid
2611316175.0,50e0438107ce8ab84d6e451cbb819414,1052111.0,183829182.0,False,2022-08-17T07:54:32+00:00,2022-08-17T08:25:08+00:00,,UI UI UI UI 7 2 3 4 0,False,2022-08-17T08:47:29+00:00,1812430.0
2611644182.0,7a473b31aba568848b051aac0e764888,1052111.0,183829182.0,False,2022-08-17T11:52:21+00:00,2022-08-17T12:37:21+00:00,2700.0,UI UI UI UI 7 2 3 4 0,False,2022-08-17T12:59:24+00:00,1812430.0
2611714139.0,e66bac53a51acb4fae39587e63241cec,1052111.0,183829182.0,False,2022-08-17T12:37:24+00:00,2022-08-17T12:59:56+00:00,1352.0,UI UI UI UI 7 2 3 4 0,False,2022-08-17T13:02:25+00:00,1812430.0
2612434532.0,5d8418b515ce69801199b584aa69d2af,1052111.0,183829182.0,False,2022-08-17T20:32:18+00:00,2022-08-17T21:17:18+00:00,2700.0,UI UI UI UI 7 2 3 4 0,False,2022-08-17T21:27:02+00:00,1812430.0
2612481546.0,c9dbac541a7a06cb95545b44c8115403,1052111.0,183829182.0,False,2022-08-17T21:17:22+00:00,2022-08-17T21:28:02+00:00,640.0,UI UI UI UI 7 2 3 4 0,False,2022-08-17T21:52:04+00:00,1812430.0
2615799138.0,8f7860be77fe95fb32a59c0e391d28fe,1052111.0,183829182.0,False,2022-08-20T16:55:35+00:00,2022-08-20T17:40:35+00:00,2700.0,ORCHESTRATION 10 3 4 3 3,False,2022-08-20T20:30:08+00:00,1812430.0
2616049278.0,1e4741ff28b 4dbf0227becd31d08a42d,1052111.0,183829182.0,False,2022-08-21T14:02:42+00:00,2022-08-21T14:35:18+00:00,1956.0,ORCHESTRATION 10 3 4 3 3,False,2022-08-21T14:34:46+00:00,1812430.0
2616807425.0,adcb517f6ac210909f25e417ac814e9e,1052111.0,183829182.0,False,2022-08-22T10:10:40+00:00,2022-08-22T10:46:30+00:00,2150.0,,False,2022-08-25T12:09:13+00:00,1812430.0
2620688765.0,c26 3bcff8b69402f22e50c8727bc5770,1052111.0,183829182.0,False,2022-08-24T14:24:07+00:00,2022-08-24T15:01:59+00:00,2272.0,write V1 of recommendation system  12 3 5 4 4,,2022-08-24T15:01:27+00:00,1812430.0
2622074142.0,fbf8ad01d90de4d04fa4c60735cb029c,1052111.0,183829182.0,False,2022-08-25T11:49:23+00:00,2022-08-25T12:07:59+00:00,1116.0,ORCHESTRATION 10 3 4 3 3,False,2022-08-25T12:07:26+00:00,1812430.0
2622473169.0,fe5c63d9170805d52c185274786614f7,1052111.0,,False,2022-08-25T15:37:39+00:00,2022-08-25T16:22:39+00:00,2700.0,GITHUB deploy 1 2 1 3 1,False,2022-08-25T16:22:06+00:00,1812430.0
2622546722.0,8e4ab8e0a75a6386dedbd8acc8a907e6,1052111.0,,False,2022-08-25T16:25:50+00:00,2022-08-25T16:30:57+00:00,307.0,GITHUB deploy 1 2 1 3 1,False,2022-08-25T16:30:25+00:00,1812430.0
2622902695.0,f49e230295eb82ffd6ca13d17e58f97d,1052111.0,183829182.0,False,2022-08-25T21:23:47+00:00,2022-08-25T22:08:47+00:00,2700.0,ORCHESTRATION 10 3 4 3 3,,2022-08-25T22:08:15+00:00,1812430.0
2624149579.0,044b9719717f0be0bee6a6aef4e57719,1052111.0,183829182.0,False,2022-08-26T17:55:40+00:00,2022-08-26T18:31:53+00:00,2173.0,ORCHESTRATION 10 3 4 3 3,False,2022-08-26T18:31:20+00:00,1812430.0
2625949354.0,f64b20aa3183b581659 b482094eb8aae,1052111.0,183829182.0,False,2022-08-29T13:34:18+00:00,2022-08-29T13:44:34+00:00,616.0,ORCHESTRATION 10 3 4 3 3,False,2022-08-29T13:44:06+0 0:00,1812430.0
2627317211.0,ecb8d2cbb5a61b1c41e03a78d3b46844,1052111.0,183829182.0,False,2022-08-30T09:26:10+00:00,2022-08-30T09:48:23+00:00,1333.0,ORCHESTRATION 10 3 4 3 3,False,2022-08-30T09:57:18+00:00,1812430.0
2627381052.0,5c34846e8399fc7d93f9a0ffa7ba68c8,1052111.0,183829182.0,False,2022-08-30T10:07:57+00:00,,2635.0,ORCHESTRATION 10 3 4 3 3,False,2022-08-30T10:51:19+00:00,1812430.0
